(node:7716) Warning: Setting the NODE_TLS_REJECT_UNAUTHORIZED environment variable to '0' makes TLS connections and HTTPS requests insecure by disabling certificate verification.
(Use `node --trace-warnings ...` to show where the warning was created)
FEL           22  brans=[felsefe]  sinif=[10,11]  ders=[Felsefe]  örn=FEL.10.1.1, FEL.10.2.1, FEL.10.2.2
SOS           21  brans=[felsefe]  sinif=[11,12]  ders=[Sosyoloji]  örn=SOS.11.1.1, SOS.11.1.2, SOS.11.1.3
SBTK          21  brans=[beden_egitimi]  sinif=[9]  ders=[Sağlık Bilgisi ve Trafik Kültürü]  örn=SBTK.1.1, SBTK.1.2, SBTK.1.3
HDS           19  brans=[ihl_meslek_dersleri]  sinif=[10]  ders=[Hadis]  örn=HDS.10.1.1, HDS.10.1.2, HDS.10.1.3
İÇYÇ          18  brans=[cografya]  sinif=[10]  ders=[İklim, Çevre ve Yenilikçi Çözümler]  örn=İÇYÇ.2.1, İÇYÇ.1.1, İÇYÇ.2.2
MAN           17  brans=[felsefe]  sinif=[10]  ders=[Mantık]  örn=MAN.1.1, MAN.1.2, MAN.1.3
FKH           15  brans=[ihl_meslek_dersleri]  sinif=[10]  ders=[Fıkıh]  örn=FKH.10.1.1, FKH.10.1.2, FKH.10.1.3
PSK           13  brans=[felsefe]  sinif=[11]  ders=[Psikoloji]  örn=PSK.2.1, PSK.1.1, PSK.2.2
İHVD          13  brans=[sinif_ogretmeni]  sinif=[4]  ders=[İnsan Hakları]  örn=İHVD.4.1.1, İHVD.4.1.2, İHVD.4.1.3
SYR           13  brans=[ihl_meslek_dersleri]  sinif=[10]  ders=[Siyer]  örn=SYR.10.1.1, SYR.10.1.2, SYR.10.1.3
TFS           13  brans=[ihl_meslek_dersleri]  sinif=[11]  ders=[Tefsir]  örn=TFS.11.2.1, TFS.11.1.1, TFS.11.2.2
TG            12  brans=[sinif_ogretmeni]  sinif=[4]  ders=[Trafik Güvenliği]  örn=TG.4.1.1, TG.4.1.2, TG.4.1.3
İÇE           11  brans=[ihl_meslek_dersleri]  sinif=[11]  ders=[İslam'da Çocuk Eğitimi]  örn=İÇE.1.1, İÇE.1.2, İÇE.1.3
İF            11  brans=[ihl_meslek_dersleri]  sinif=[11]  ders=[İslam Felsefesi]  örn=İF.1.1, İF.1.2, İF.1.3
AKD           10  brans=[ihl_meslek_dersleri]  sinif=[11]  ders=[Akaid]  örn=AKD.11.2.1, AKD.11.3.2, AKD.11.4.1
DT            10  brans=[ihl_meslek_dersleri]  sinif=[12]  ders=[Dinler Tarihi]  örn=DT.12.1.2, DT.12.2.2, DT.12.4.3
KLM           10  brans=[ihl_meslek_dersleri]  sinif=[12]  ders=[Kelam]  örn=KLM.12.1.1, KLM.12.1.2, KLM.12.1.3
ÇTDT           9  brans=[tarih]  sinif=[12]  ders=[Çağdaş Türk ve Dünya Tarihi]  örn=ÇTDT.1.1, ÇTDT.1.2, ÇTDT.1.3
HMU            9  brans=[ihl_meslek_dersleri]  sinif=[11]  ders=[Hitabet ve Mesleki Uygulama]  örn=HMU.11.1.1, HMU.11.1.2, HMU.11.2.1
TK             8  brans=[ihl_meslek_dersleri]  sinif=[11]  ders=[Tasavvuf Kültürü]  örn=TK.1.1, TK.1.2, TK.2.1
